productid,productname,Categoryid,Subcategoryid,unit,cost,price,startdate,enddate,createdate,lastupdatedate
1,Pivotal Apple Juice,1,1001,,,,,,,
2,Ooopsi Cola,1,1002,,,,,,,
3,Chateau Potomac Water,1,1003,,,,,,,
4,PBR,1,1004,,,,,,,
5,Boone Farms Swill,1,1005,,,,,,,
6,Pivotal Smoothie,1,1999,,,,,,,
7,pink lady,2,2001,,,,,,,
8,banana,2,2002,,,,,,,
9,Kirby cukes,2,2003,,,,,,,
10,dill,2,2004,,,,,,,
11,white eggplant,2,2005,,,,,,,
12,fennel,2,2006,,,,,,,
13,pink grapefruit,2,2007,,,,,,,
14,horseradish,2,2008,,,,,,,
15,Meyer Lemons,2,2009,,,,,,,
16,Honeydew,2,2010,,,,,,,
17,napa,2,2011,,,,,,,
18,california navels,2,2012,,,,,,,
19,dole pineapple,2,2013,,,,,,,
20,quince ?,2,2014,,,,,,,
21,black radish,2,2015,,,,,,,
22,triple wahsed spinach,2,2016,,,,,,,
23,red top turnip,2,2017,,,,,,,
24,seedless watermelon,2,2018,,,,,,,
25,ugli fruit,2,2999,,,,,,,
26,Pivotal 2% Milk,3,3001,,,,,,,
27,Pivotal Low Fat Yoghurt,3,3002,,,,,,,
28,Land O Lakes Butter,3,3003,,,,,,,
29,Breakstone Whole Milk Cottage Cheese ,3,3004,,,,,,,
30,Pivotal 1/2 and 1/2,3,3005,,,,,,,
31,Free Range Extra Large,3,3006,,,,,,,
32,Vermot Extra Sharp Cheddar,3,3999,,,,,,,
33,Ben and Jerry's Cherry Garcia,4,4001,,,,,,,
34,Pivotal Small Frozen Peas,4,4002,,,,,,,
35,Maine Wild Blueberries,4,4003,,,,,,,
36,Jasper's White Pizza,4,4004,,,,,,,
37,Uggo Waffles,4,4005,,,,,,,
38,Organic Vegetarian Sausage,4,4999,,,,,,,
39,Pivotal Soft and Smooth 24 pack,5,5001,,,,,,,
40,Husky Paper towels,5,5002,,,,,,,
41,"12"" Dinner Plates",5,5003,,,,,,,
42,Floral Print Napkins,5,5999,,,,,,,
43,T-bone steak,6,6001,,,,,,,
44,ground beef,6,6002,,,,,,,
45,Porky Pig Big Chops,6,6003,,,,,,,
46,Clucker Farms Organic Chicken,6,6003,,,,,,,
47,Ball Park Franks,6,6004,,,,,,,
48,Porky Pig Everloving Bacon,6,6005,,,,,,,
49,Leg of lamb,6,6999,,,,,,,
50,Kosher salami,7,7001,,,,,,,
51,Elmer's Roast Beef,7,7002,,,,,,,
52,Porky Pig Smoked Ham,7,7003,,,,,,,
53,Old Zurich Swiss Cheese,7,7004,,,,,,,
54,Vermonter Mild Cheddar,7,7004,,,,,,,
55,Mom's Cole Slaw,7,7005,,,,,,,
56,Mom's Potato Salad,7,7005,,,,,,,
57,Mom's Deli Mustard,7,7006,,,,,,,
58,Wonder Bread,8,8001,,,,,,,
59,Zabar's Old Fahsioned Rye,8,8002,,,,,,,
60,Organic Whole Wheat Bread,8,8003,,,,,,,
61,Brooklyn Bagel 6 pack,8,8004,,,,,,,
62,Donut King 6 pack,8,8005,,,,,,,
63,Mom's extra frosting birthday cake,8,8006,,,,,,,
64,Ballpark Hot Dog Rolls,8,8999,,,,,,,
65,Mr Peanut Peanut Oil,9,9001,,,,,,,
66,Old Italy Olive Oil,9,9002,,,,,,,
67,Mom's Old Fashioned Mayo,9,9003,,,,,,,
68,Heinz Ketchup Quart Bottle,9,9004,,,,,,,
69,Ball Park Mustard,9,9005,,,,,,,
70,Homer's Strawberry Jam,9,9006,,,,,,,
71,Mr Peanut Peanut Butter,9,9007,,,,,,,
72,K-Town Half Sour Pickles,9,9999,,,,,,,
73,Happy Valley Sweet Corn,10,10001,,,,,,,
74,Happy Valley Green Beans,10,10002,,,,,,,
75,Happy Valley Diced Tomatoes,10,10003,,,,,,,
76,Happy Valley White Peaches,10,10004,,,,,,,
77,Pivotal Baked Beans,10,10005,,,,,,,
78,Jasper's Pizza Sauce,10,10999,,,,,,,
79,Devil's Delight Blazing Hot Susage,7,7010,,,,,,,
80,Pivotal Stomach Calmer,11,11010,,,,,,,
81,Pivotal Extra Strength Aspirin,11,11012,,,,,,,
82,BabyBum Disposable Diapers,5,5005,,,,,,,
